,area,bhk,bath,location,price
403,1000.0,3.0,2.0,Uttam Nagar,62.0
405,680.0,1.0,2.0,Dwarka,34.0
408,540.0,1.0,2.0,Uttam Nagar,25.0
409,360.0,1.0,1.0,Uttam Nagar,20.0
410,550.0,1.0,2.0,Uttam Nagar,19.0
412,450.0,1.0,2.0,Dwarka,29.0
413,550.0,1.0,1.0,Uttam Nagar,20.0
414,550.0,1.0,2.0,Uttam Nagar,26.0
416,585.0,1.0,2.0,Uttam Nagar,32.0
417,810.0,1.0,2.0,Uttam Nagar,54.0
418,765.0,1.0,2.0,Dwarka,38.0
419,4688.0,5.0,4.0,Patel Nagar,1350.0
420,3901.0,4.0,4.0,Patel Nagar,930.0
422,800.0,1.0,2.0,Patel Nagar,80.0
423,900.0,1.0,2.0,Patel Nagar,95.0
425,900.0,2.0,2.0,Patel Nagar,74.0
426,2000.0,3.0,3.0,Patel Nagar,375.0
428,1900.0,3.0,3.0,Patel Nagar,553.0
429,1530.0,3.0,3.0,Patel Nagar,265.0
431,900.0,1.0,2.0,Patel Nagar,104.0
433,950.0,2.0,2.0,Patel Nagar,80.0
434,1800.0,3.0,3.0,Patel Nagar,270.0
435,1500.0,3.0,3.0,Patel Nagar,195.0
436,1800.0,3.0,3.0,Patel Nagar,500.0
437,1800.0,3.0,3.0,Patel Nagar,211.0
438,2306.0,3.0,3.0,Patel Nagar,570.0
439,850.0,2.0,3.0,Patel Nagar,59.0
441,900.0,1.0,2.0,Patel Nagar,120.0
442,1800.0,3.0,3.0,Patel Nagar,240.0
444,1782.0,3.0,3.0,Patel Nagar,150.0
445,900.0,2.0,2.0,Patel Nagar,15.0
446,405.0,1.0,1.0,Patel Nagar,39.5
447,1500.0,3.0,3.0,Patel Nagar,125.0
449,2000.0,4.0,4.0,Vasant Kunj,365.0
450,1200.0,3.0,2.0,Vasant Kunj,200.0
451,1100.0,2.0,2.0,Vasant Kunj,150.0
452,1400.0,3.0,2.0,Vasant Kunj,250.0
455,600.0,1.0,1.0,Vasant Kunj,80.0
456,1600.0,3.0,2.0,Vasant Kunj,230.0
457,2000.0,3.0,3.0,Vasant Kunj,310.0
458,650.0,1.0,2.0,Vasant Kunj,74.0
459,1100.0,2.0,2.0,Vasant Kunj,155.0
460,1075.0,2.0,2.0,Vasant Kunj,120.0
461,1450.0,3.0,2.0,Vasant Kunj,235.0
462,1200.0,3.0,2.0,Vasant Kunj,250.0
463,600.0,1.0,2.0,Vasant Kunj,70.0
464,1000.0,2.0,2.0,Vasant Kunj,175.0
465,1600.0,3.0,2.0,Vasant Kunj,250.0
466,1750.0,4.0,4.0,Vasant Kunj,290.0
467,1300.0,3.0,3.0,Vasant Kunj,219.0
468,550.0,1.0,2.0,Vasant Kunj,75.0
470,1100.0,2.0,2.0,Vasant Kunj,240.0
471,1700.0,3.0,2.0,Vasant Kunj,310.0
472,1100.0,2.0,2.0,Vasant Kunj,165.0
473,1000.0,2.0,2.0,Vasant Kunj,50.0
474,1350.0,3.0,2.0,Vasant Kunj,240.0
